Run_ID,Nodes,Planner_Type,Approach,Compilation,Road_Abs,Cong_Mode,Cong_Type,Cong_Rep,Fuel_En,Fuel_Mode,Fuel_Rep,Start_Node,Goal_Node,Status,Basic_Planner_Time_sec,Basic_Grounding_Time_sec,LLM_Planner_Time_sec,LLM_Grounding_Time_sec,Sum_Basic_Planner_Time_sec,Basic_Planner_Time_List_sec,Sum_Basic_Grounding_Time_sec,Basic_Grounding_Time_List_sec,Basic_Planner_Calls,Sum_LLM_Planner_Time_sec,LLM_Planner_Time_List_sec,Sum_LLM_Grounding_Time_sec,LLM_Grounding_Time_List_sec,LLM_Planner_Calls,Failure_Reason
RUN_055,500,compiled_duration,node_based,compiled,True,pddl,dynamic,False,False,N/A,False,loc_0173,loc_0034,Success,85.053,24.852,57.079,17.078,,,,,1,,,,,1,
RUN_056,500,compiled_duration,line_graph,parameterized,True,pddl,dynamic,False,False,N/A,False,loc_0173,loc_0034,OOM,,,,,,,,,0,,,,,0,Java/ENHSP out-of-memory evidence found in logs or planner output
RUN_057,500,compiled_duration,line_graph,compiled,True,pddl,dynamic,False,False,N/A,False,loc_0173,loc_0034,Success,165.152,52.077,118.991,35.628,,,,,1,,,,,1,
RUN_058,500,process,node_based,parameterized,True,pddl,hybrid,False,False,N/A,False,loc_0173,loc_0034,Timeout,,,,,,,,,0,,,,,0,Exceeded the 1800-second wall-clock limit
RUN_059,500,compiled_duration,node_based,parameterized,True,pddl,hybrid,False,False,N/A,False,loc_0173,loc_0034,Timeout,,,,,,,,,0,,,,,0,Exceeded the 1800-second wall-clock limit
RUN_060,500,compiled_duration,node_based,compiled,True,pddl,hybrid,False,False,N/A,False,loc_0173,loc_0034,Success,8.431,2.255,8.883,2.379,,,,,1,,,,,1,
RUN_061,1000,compiled_duration,node_based,compiled,True,pddl,hybrid,False,False,N/A,False,loc_0425,loc_0342,Success,33.011,9.447,37.625,11.281,,,,,1,,,,,1,
RUN_062,1500,compiled_duration,node_based,compiled,True,pddl,hybrid,False,False,N/A,False,loc_1037,loc_0935,Success,89.963,30.153,154.139,50.677,,,,,1,,,,,1,
RUN_063,2000,compiled_duration,node_based,compiled,True,pddl,hybrid,False,False,N/A,False,loc_1591,loc_1217,Success,245.256,85.278,293.932,107.472,,,,,1,,,,,1,
RUN_064,500,compiled_duration,line_graph,parameterized,True,pddl,hybrid,False,False,N/A,False,loc_0173,loc_0034,Timeout,,,,,,,,,0,,,,,0,Exceeded the 1800-second wall-clock limit
